MONAI version: 0.1.0+560.gc89bf24
Python version: 3.7.4 (default, Jul 18 2019, 19:34:02)  [GCC 5.4.0]
Numpy version: 1.18.1
Pytorch version: 1.5.0

Optional dependencies:
Pytorch Ignite version: 0.3.0
Nibabel version: 3.1.0
scikit-image version: 0.14.2
Pillow version: 7.0.0
Tensorboard version: 2.1.0

For details about installing the optional dependencies, please visit:
    https://docs.monai.io/en/latest/installation.html#installing-the-recommended-dependencies

2020-07-19 13:56:27.573087: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libnvinfer.so.6
2020-07-19 13:56:27.583096: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libnvinfer_plugin.so.6
Iran data: cropped and common resized, densenet+imhistnet-8bins
----------
epoch 1/300
1/203, train_loss: 0.7616
2/203, train_loss: 159.8096
3/203, train_loss: 50.3850
4/203, train_loss: 97.4195
5/203, train_loss: 120.3665
6/203, train_loss: 27.3642
7/203, train_loss: 75.2632
8/203, train_loss: 30.9642
9/203, train_loss: 5.8611
10/203, train_loss: 7.0835
11/203, train_loss: 49.8270
12/203, train_loss: 0.0000
13/203, train_loss: 124.4970
14/203, train_loss: 10.5690
15/203, train_loss: 59.3429
16/203, train_loss: 20.0594
17/203, train_loss: 0.9068
18/203, train_loss: 29.6800
19/203, train_loss: 2.8346
20/203, train_loss: 87.5392
21/203, train_loss: 3.1584
22/203, train_loss: 0.4779
23/203, train_loss: 5.3554
24/203, train_loss: 5.5034
25/203, train_loss: 3.9385
26/203, train_loss: 102.6629
27/203, train_loss: 101.9538
28/203, train_loss: 6.7895
29/203, train_loss: 7.5605
30/203, train_loss: 27.7341
31/203, train_loss: 29.3840
32/203, train_loss: 71.5965
33/203, train_loss: 5.5350
34/203, train_loss: 15.2525
35/203, train_loss: 20.0594
36/203, train_loss: 38.3956
37/203, train_loss: 2.7751
38/203, train_loss: 58.7223
39/203, train_loss: 10.7013
40/203, train_loss: 23.5557
41/203, train_loss: 4.5282
42/203, train_loss: 110.8954
43/203, train_loss: 7.1602
44/203, train_loss: 19.7714
45/203, train_loss: 18.2759
46/203, train_loss: 1.1758
47/203, train_loss: 2.7096
48/203, train_loss: 18.6451
49/203, train_loss: 74.8282
50/203, train_loss: 1.2157
51/203, train_loss: 28.6837
52/203, train_loss: 26.8718
53/203, train_loss: 18.8199
54/203, train_loss: 0.0015
55/203, train_loss: 15.0887
56/203, train_loss: 22.8452
57/203, train_loss: 9.0695
58/203, train_loss: 2.6848
59/203, train_loss: 3.5336
60/203, train_loss: 2.2883
61/203, train_loss: 25.0354
62/203, train_loss: 0.0396
63/203, train_loss: 19.5588
64/203, train_loss: 4.9340
65/203, train_loss: 4.2475
66/203, train_loss: 2.4959
67/203, train_loss: 4.7133
68/203, train_loss: 4.1852
69/203, train_loss: 25.8065
70/203, train_loss: 22.6241
71/203, train_loss: 25.1162
72/203, train_loss: 17.9617
73/203, train_loss: 4.4426
74/203, train_loss: 0.6140
75/203, train_loss: 5.5689
76/203, train_loss: 7.4634
77/203, train_loss: 2.7853
78/203, train_loss: 2.6244
79/203, train_loss: 1.1922
80/203, train_loss: 6.3984
81/203, train_loss: 13.2681
82/203, train_loss: 0.0502
83/203, train_loss: 4.9409
84/203, train_loss: 7.3135
85/203, train_loss: 2.3652
86/203, train_loss: 1.5486
87/203, train_loss: 0.7690
88/203, train_loss: 0.5129
89/203, train_loss: 0.5492
90/203, train_loss: 0.6686
91/203, train_loss: 0.6780
92/203, train_loss: 2.3858
93/203, train_loss: 0.6185
94/203, train_loss: 1.0511
95/203, train_loss: 1.0159
96/203, train_loss: 1.0718
97/203, train_loss: 1.8823
98/203, train_loss: 0.5268
99/203, train_loss: 0.6150
100/203, train_loss: 0.7621
101/203, train_loss: 1.0082
102/203, train_loss: 1.2854
103/203, train_loss: 1.5227
104/203, train_loss: 0.8359
105/203, train_loss: 1.6086
106/203, train_loss: 0.4418
107/203, train_loss: 0.6488
108/203, train_loss: 0.5723
109/203, train_loss: 1.4838
110/203, train_loss: 0.4373
111/203, train_loss: 0.6352
112/203, train_loss: 0.8626
113/203, train_loss: 0.4358
114/203, train_loss: 0.7536
115/203, train_loss: 1.2166
116/203, train_loss: 0.3247
117/203, train_loss: 1.1412
118/203, train_loss: 1.1472
119/203, train_loss: 1.1371
120/203, train_loss: 0.4859
121/203, train_loss: 0.6772
122/203, train_loss: 0.6325
123/203, train_loss: 0.7689
124/203, train_loss: 0.5810
125/203, train_loss: 0.9057
126/203, train_loss: 0.6254
127/203, train_loss: 0.6732
128/203, train_loss: 0.9169
129/203, train_loss: 0.8358
130/203, train_loss: 0.8735
131/203, train_loss: 0.7294
132/203, train_loss: 0.4975
133/203, train_loss: 0.9069
134/203, train_loss: 1.4118
135/203, train_loss: 0.5795
136/203, train_loss: 0.6926
137/203, train_loss: 0.7001
138/203, train_loss: 0.7468
139/203, train_loss: 0.5474
140/203, train_loss: 0.8414
141/203, train_loss: 0.9586
142/203, train_loss: 1.0340
143/203, train_loss: 0.7093
144/203, train_loss: 0.8199
145/203, train_loss: 0.7339
146/203, train_loss: 0.7972
147/203, train_loss: 0.6417
148/203, train_loss: 0.6258
149/203, train_loss: 0.4912
150/203, train_loss: 0.8109
151/203, train_loss: 0.4819
152/203, train_loss: 1.0055
153/203, train_loss: 0.8576
154/203, train_loss: 0.4944
155/203, train_loss: 1.3035
156/203, train_loss: 0.8345
157/203, train_loss: 0.6666
158/203, train_loss: 0.7888
159/203, train_loss: 0.7022
160/203, train_loss: 0.6553
161/203, train_loss: 0.6055
162/203, train_loss: 0.8203
163/203, train_loss: 0.7704
164/203, train_loss: 0.8106
165/203, train_loss: 0.5696
166/203, train_loss: 0.8507
167/203, train_loss: 0.7821
168/203, train_loss: 1.7227
169/203, train_loss: 0.5753
170/203, train_loss: 0.6926
171/203, train_loss: 1.9207
172/203, train_loss: 1.5287
173/203, train_loss: 0.8252
174/203, train_loss: 0.6556
175/203, train_loss: 0.9042
176/203, train_loss: 0.5766
177/203, train_loss: 0.6550
178/203, train_loss: 0.7849
179/203, train_loss: 0.8015
180/203, train_loss: 1.1388
181/203, train_loss: 0.8029
182/203, train_loss: 1.1431
183/203, train_loss: 0.5700
184/203, train_loss: 1.1472
185/203, train_loss: 1.8299
186/203, train_loss: 0.6308
187/203, train_loss: 0.6866
188/203, train_loss: 0.8051
189/203, train_loss: 0.4256
190/203, train_loss: 1.0852
191/203, train_loss: 1.0902
192/203, train_loss: 2.8040
193/203, train_loss: 0.4603
194/203, train_loss: 0.5979
195/203, train_loss: 0.6959
196/203, train_loss: 0.8589
197/203, train_loss: 1.3637
198/203, train_loss: 0.8091
199/203, train_loss: 0.6561
200/203, train_loss: 0.8996
201/203, train_loss: 0.8684
202/203, train_loss: 0.6348
203/203, train_loss: 0.6428
epoch 1 average loss: 10.8827
saved new best metric model
current epoch: 1 current accuracy: 0.5150 best accuracy: 0.5150 at epoch 1
----------
epoch 2/300
1/203, train_loss: 0.7595
2/203, train_loss: 0.6875
3/203, train_loss: 0.8636
4/203, train_loss: 0.6777
5/203, train_loss: 1.0236
6/203, train_loss: 0.5834
7/203, train_loss: 0.6330
8/203, train_loss: 0.5785
9/203, train_loss: 0.8787
10/203, train_loss: 0.6536
11/203, train_loss: 0.7867
12/203, train_loss: 0.7630
13/203, train_loss: 0.6839
14/203, train_loss: 0.6058
15/203, train_loss: 0.5381
16/203, train_loss: 0.5464
17/203, train_loss: 0.4278
18/203, train_loss: 0.2871
19/203, train_loss: 1.9239
20/203, train_loss: 1.3332
21/203, train_loss: 0.6287
22/203, train_loss: 0.5435
23/203, train_loss: 0.8021
24/203, train_loss: 0.6004
25/203, train_loss: 0.8433
26/203, train_loss: 0.6072
27/203, train_loss: 0.9861
28/203, train_loss: 1.1133
29/203, train_loss: 1.0698
30/203, train_loss: 0.7147
31/203, train_loss: 0.6607
32/203, train_loss: 0.7855
33/203, train_loss: 0.7984
34/203, train_loss: 0.6794
35/203, train_loss: 0.6458
36/203, train_loss: 0.6695
37/203, train_loss: 0.8293
38/203, train_loss: 0.5461
39/203, train_loss: 0.8528
40/203, train_loss: 0.7503
41/203, train_loss: 0.7938
42/203, train_loss: 0.6399
43/203, train_loss: 1.1811
44/203, train_loss: 1.4760
45/203, train_loss: 0.6472
46/203, train_loss: 0.8836
47/203, train_loss: 0.6742
48/203, train_loss: 0.5721
49/203, train_loss: 0.6640
50/203, train_loss: 1.1624
51/203, train_loss: 0.4617
52/203, train_loss: 0.6541
